accession.mi	accession.mimat
MI0000001	MIMAT0000001
MI0000002	MIMAT0000002
MI0000003	MIMAT0020301
MI0000004	MIMAT0020302
MI0000005	MIMAT0000005
MI0000006	MIMAT0020303
MI0000007	MIMAT0020304
MI0000008	MIMAT0015094
MI0000009	MIMAT0020305
MI0000010	MIMAT0020306
MI0000011	MIMAT0020307
MI0000012	MIMAT0020770
MI0000013	MIMAT0015095
MI0000014	MIMAT0020308
MI0000015	MIMAT0020771
MI0000016	MIMAT0020772
MI0000017	MIMAT0015096
MI0000018	MIMAT0015097
MI0000019	MIMAT0000019
MI0000020	MIMAT0020309
MI0000021	MIMAT0000021
MI0000022	MIMAT0000022
MI0000023	MIMAT0000023
MI0000024	MIMAT0000024
MI0000025	MIMAT0020773
MI0000026	MIMAT0020313
MI0000027	MIMAT0000027
MI0000028	MIMAT0000029
MI0000029	MIMAT0015100
MI0000030	MIMAT0015101
MI0000031	MIMAT0015102
MI0000032	MIMAT0015103
MI0000033	MIMAT0000034
MI0000034	MIMAT0015104
MI0000035	MIMAT0000036
MI0000036	MIMAT0000037
MI0000037	MIMAT0000038
MI0000038	MIMAT0020316
MI0000041	MIMAT0020317
MI0000042	MIMAT0000043
MI0000043	MIMAT0000044
MI0000044	MIMAT0020319
MI0000045	MIMAT0020320
MI0000046	MIMAT0015108
MI0000047	MIMAT0020321
MI0000048	MIMAT0020774
MI0000049	MIMAT0000050
MI0000050	MIMAT0020322
MI0000051	MIMAT0000052
MI0000052	MIMAT0015109
MI0000053	MIMAT0020323
MI0000054	MIMAT0020775
MI0000055	MIMAT0000057
MI0000056	MIMAT0020324
MI0000057	MIMAT0000059
MI0000058	MIMAT0020325
MI0000059	MIMAT0020326
MI0000060	MIMAT0000062
MI0000061	MIMAT0000062
MI0000062	MIMAT0000062
MI0000063	MIMAT0000063
MI0000064	MIMAT0000064
MI0000065	MIMAT0000065
MI0000066	MIMAT0000066
MI0000067	MIMAT0000067
MI0000068	MIMAT0000067
MI0000069	MIMAT0000068
MI0000070	MIMAT0000069
MI0000071	MIMAT0000070
MI0000072	MIMAT0000072
MI0000073	MIMAT0004490
MI0000074	MIMAT0004491
MI0000075	MIMAT0004492
MI0000076	MIMAT0000075
MI0000077	MIMAT0000076
MI0000078	MIMAT0004495
MI0000079	MIMAT0004496
MI0000080	MIMAT0000079
MI0000081	MIMAT0004497
MI0000082	MIMAT0004498
MI0000083	MIMAT0000082
MI0000084	MIMAT0000083
MI0000085	MIMAT0004501
MI0000086	MIMAT0000085
MI0000087	MIMAT0004503
MI0000088	MIMAT0000087
MI0000089	MIMAT0000089
MI0000090	MIMAT0000090
MI0000091	MIMAT0000091
MI0000093	MIMAT0004507
MI0000094	MIMAT0004508
MI0000095	MIMAT0000093
MI0000097	MIMAT0026473
MI0000098	MIMAT0000095
MI0000100	MIMAT0000096
MI0000101	MIMAT0000097
MI0000102	MIMAT0000098
MI0000103	MIMAT0004513
MI0000105	MIMAT0004514
MI0000107	MIMAT0004515
MI0000108	MIMAT0009196
MI0000109	MIMAT0000101
MI0000111	MIMAT0000102
MI0000112	MIMAT0000102
MI0000113	MIMAT0000103
MI0000114	MIMAT0000104
MI0000115	MIMAT0000069
MI0000116	MIMAT0020779
MI0000117	MIMAT0020780
MI0000118	MIMAT0020781
MI0000119	MIMAT0020782
MI0000120	MIMAT0020783
MI0000121	MIMAT0020784
MI0000122	MIMAT0020785
MI0000123	MIMAT0000110
MI0000124	MIMAT0020787
MI0000125	MIMAT0020788
MI0000126	MIMAT0020789
MI0000127	MIMAT0000112
MI0000128	MIMAT0020791
MI0000129	MIMAT0000114
MI0000130	MIMAT0000115
MI0000131	MIMAT0020793
MI0000132	MIMAT0000117
MI0000133	MIMAT0020795
MI0000134	MIMAT0020796
MI0000135	MIMAT0020797
MI0000136	MIMAT0020798
MI0000137	MIMAT0000121
MI0000138	MIMAT0000122
MI0000139	MIMAT0016979
MI0000140	MIMAT0000124
MI0000141	MIMAT0016980
MI0000142	MIMAT0004522
MI0000143	MIMAT0004523
MI0000144	MIMAT0000128
MI0000145	MIMAT0000130
MI0000146	MIMAT0000131
MI0000147	MIMAT0000132
MI0000148	MIMAT0004526
MI0000150	MIMAT0004527
MI0000151	MIMAT0000135
MI0000152	MIMAT0000136
MI0000153	MIMAT0000137
MI0000154	MIMAT0004530
MI0000155	MIMAT0016982
MI0000156	MIMAT0016983
MI0000157	MIMAT0000142
MI0000158	MIMAT0016984
MI0000159	MIMAT0003473
MI0000160	MIMAT0000146
MI0000161	MIMAT0000147
MI0000162	MIMAT0000148
MI0000163	MIMAT0016986
MI0000164	MIMAT0000150
MI0000165	MIMAT0000151
MI0000166	MIMAT0004533
MI0000167	MIMAT0000154
MI0000168	MIMAT0016988
MI0000169	MIMAT0000157
MI0000170	MIMAT0000158
MI0000171	MIMAT0000159
MI0000172	MIMAT0000160
MI0000173	MIMAT0004536
MI0000174	MIMAT0016991
MI0000175	MIMAT0016992
MI0000176	MIMAT0000164
MI0000177	MIMAT0000165
MI0000178	MIMAT0000166
MI0000179	MIMAT0000167
MI0000180	MIMAT0000168
MI0000181	MIMAT0000169
MI0000182	MIMAT0000170
MI0000183	MIMAT0000171
MI0000184	MIMAT0000172
MI0000185	MIMAT0000173
MI0000186	MIMAT0000174
MI0000187	MIMAT0000175
MI0000188	MIMAT0031873
MI0000189	MIMAT0000177
MI0000190	MIMAT0000178
MI0000191	MIMAT0000179
MI0000192	MIMAT0000180
MI0000193	MIMAT0006779
MI0000194	MIMAT0031876
MI0000195	MIMAT0031877
MI0000196	MIMAT0000184
MI0000197	MIMAT0000185
MI0000198	MIMAT0000186
MI0000199	MIMAT0031879
MI0000200	MIMAT0000188
MI0000201	MIMAT0031880
MI0000202	MIMAT0031881
MI0000203	MIMAT0000191
MI0000204	MIMAT0000192
